Resource,Resource URL,Email-General,Phone-General,Address,Email-Contact,Contact,Phone-Contact,Resource Description,Resource Type,Facebook URL,Twitter URL,Instagram,Audience,Population Focus,Location,Campuses,College eligibility,Availability,Deadline,Innovation Type,Funding Amount if applicable,Topic,Technology,Client Tags,"Notes, estimated time to complete",Attachments,Approved,Approved by,Last updated,Flagged,Flagged comment,Process,Organization
Feminist Research Institute,https://fri.ucdavis.edu/,fri@ucdavis.edu,530-752-1011,"One Shields Avenue, Davis, CA 95616",annward@ucdavis.edu,Anna E. Ward,,"The Feminist Research Institute (FRI) catalyzes the potential of feminism to transform academic research to meet today’s pressing social and scientific challenges. Feminist research combines a commitment to social justice and gender equity with rigorous methodologies that produce more impactful and accurate knowledge. The results are collaborative, transdisciplinary projects that ask new questions, use new methodologies, and engage new audiences.

Site features: research, videos, events, funding, networks, and the Feminist Collaboratory, Graduate Summer Research Fellowship, Working Groups
Funding: FRI Seed Grant Competition https://fri.ucdavis.edu/seed-grants

","Education & Awareness,Funding & Grants",,,,"Undergraduate Student,Graduate Student,Faculty,Staff,Alumni","Women,Under-represented minority,LGTBQA+",California,Davis,,Rolling,,Research-Academia,,"""Equality, Human Rights, & Justice""",,"BearX.co,WITI",,,,,,,,,
FEM Tech Berkeley,femtechberkeley.com,,,,,,,"Through organized seminars, mentorship programs, training workshops, and networking events, FEMTech at Berkeley aims to provide a supportive community for students of all majors and backgrounds to create meaningful connections with like-minded people. We hope to excite new interest in tech and provide support for female and underrepresented students pursuing a career in the tech industry. Our mission is to empower and inspire students and we welcome anyone and everyone who supports FEMTech’s mission.","Events,Mentoring",https://www.facebook.com/FEMTechBerkeley/,https://twitter.com/femtechberkeley?lang=en,https://www.instagram.com/femtechberkeley/,Undergraduate Student,Women,UC Berkeley,Berkeley,,Rolling,,,,General,,WITI,,,,,,,,,
Girls in Engineering,http://gie.berkeley.edu,gie@berkeley.edu,(510) 643-0694,"101 Sproul Hall, Berkeley, CA 94720",gie@berkeley.edu,,,Fun summer camps for middle school girls in the Bay Area to get a hands on experience in engineering. This immersive week-long program is a step into the exciting world of engineering where the kids will learn to collaborate and work on team projects. There will be career talks with industry professionals and there is an application process.,"Events,Mentoring",,,,Other,"Women,Under-represented minority",Bay Area,Berkeley,,Summer,3/1/2019,,,Education & Learning,,WITI,Prof. Claire Tomlin,,,,,,,,
Society of Women Engineers,http://swe.berkeley.edu,,,,,,,"Offers an on-campus community for women engineers, where they can bond through events and participate in committees that further the opportunities for woman software engineers. Members can work on projects ranging from developing engineering shadowing programs to organizing networking events to volunteering in high schools, to even running a 10-week programming course for middle schoolers.","Networks,Student Groups,Education & Awareness",https://www.facebook.com/groups/121762421235992/,,,Undergraduate Student,Women,UC Berkeley,Berkeley,,Rolling,,,,"Education & Learning,""Equality, Human Rights, & Justice""",,WITI,,,,,,,,,
Core Citris Seed Funding,https://citris-uc.org/core-seed-funding/,seeds@citris-uc.org,,,seeds@citris-uc.org,,,"Provides seed funding for research proposals that work on developing information technology to address societal issues. Total of $600,000 was dispersed in grants ranging from $40,000-$60,000 in 2019. Applicants apply online and report on progress after a year. ",Funding & Grants,,,,"Undergraduate Student,Graduate Student",Women,UC Berkeley,"Berkeley,Davis,Merced,Santa Cruz",,One time,1/31/2019,Research-Academia,,General,,"CITRIS,WITI",,,,,,,(convened by Prof. Tsu Jae King),,
Women in Science and Engineering Theme Program (WiSE),http://themeprograms.berkeley.edu/wise.html,themeprograms@berkeley.edu,,2700 Hearst Avenue,themeprograms@berkeley.edu,,,"Immersive residential themed living program for female-identified students. The goal is for residents to explore their interest in science, technology, engineering, and mathematics (STEM) fields, and intersections of social identity in their profession. Through weekly seminar discussions and intentional programming that includes retreats and faculty/industry networking events, WISE provides a critical community where residents learn about the gender gap, power, and privilege in the STEM fields and advancements in current research.","Education & Awareness,Courses,Networks",,,,Undergraduate Student,Women,UC Berkeley,Berkeley,,,5/2/2019,,,General,,WITI,,,,,,,,,
BERKELEYBESSA,https://www.facebook.com/UCBESSA,ucberkeleybessa@gmail.com,,,ucberkeleybessa@gmail.com,,,"The Black Engineering and Science Student Association, also known as BESSA, is the University of California, Berkeley chapter for the parent organization the National Society of Black Engineers (NSBE). BESSA is a student-run, non-profit organization that thrives on its members support, success, and commitment. We work to provide academic and social support not only to the engineering and science community but to the entire black community. In addition, BESSA coordinate programs during the year to integrate our greater Bay Area community. This organization is a strong believer in academic excellence, personal growth, and a commitment to minority communities in and out of the classroom.  ","Networks,Mentoring,Student Groups",https://www.facebook.com/UCBESSA,,,Undergraduate Student,People of African descent,"UC Berkeley,Bay Area",Berkeley,,Rolling,,,,"Education & Learning,""Equality, Human Rights, & Justice""",,,,,,,,,,,
The Hispanic Engineers and Scientists (HES),https://callink.berkeley.edu/organization/hispanicengineersscientists,hesberkeley8@gmail.com,,"222 Bechtel Engineering Center MC1702 Berkeley, CA 94720",hesberkeley8@gmail.com,,,Community for Hispanic Engineers and Scientists to connect with other fellow STEM oriented students of Hispanic origin. Hosts on campus networking events as well as opportunities to talk and connect with faculty.,"Student Groups,Networks",https://www.facebook.com/HispanicEngineersandScientistsUCB/,,,Undergraduate Student,People of Latin American descent,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Graduate Women in Engineering (GWE),http://gwe.berkeley.edu/,gradswe@berkeley.edu,,,gradswe@berkeley.edu,,,"Primary purpose is to support all graduate engineering women (in body, spirit or identity — past, present, future, and fluid) in all their engineering endeavors. Throughout the year a number of informal events are held to allow women engineers (and those who support women in engineering) to welcome new students, network, share experiences, develop study groups, discuss issues and just socialize. Always looking for new faces to join us and welcome any suggestions for new events.","Networks,Student Groups",,,,Graduate Student,Women,UC Berkeley,Berkeley,,Rolling,,,,General,,WITI,,,,,,,,,
Association of Women in EECS (AWE),https://awe.berkeley.edu/,aweberkeley@gmail.com,,"286 Cory, Cory Hall",anais.miller@berkeley.edu,,,"
AWE is a student-run organization at UC Berkeley that supports undergraduate women interested in CS and EE. AWE hosts various academic, social, and outreach events throughout the academic year. Some events include networking events/info-sessions with companies, peer-to-peer mentorship, and midterm review sessions.","Education & Awareness,Networks,Student Groups,Mentoring",https://www.facebook.com/berkeleyawe/?fref=ts,,,Undergraduate Student,Women,UC Berkeley,Berkeley,,Rolling,,,,Education & Learning,,WITI,https://www.linkedin.com/company/aweberkeley/,,,,,,,,
Berkeley STEM Equity and Inclusion Initiative,http://diversity.berkeley.edu/campus-climate/stem-equity-and-inclusion-initiative,vcei@berkeley.edu,(510) 642-7294,"104 California Hall, #1500 Berkeley, CA 94720-1500",fmejia@berkeley.edu,Fabrizio Mejia,,"The STEM Equity & Inclusion Initiative seeks to advance partnerships in equity, inclusion, and diversity with STEM academic units to ensure student and research success. Has collected database and released report analyzing the database of programs that support the promotion of STEM on/closely related to the UC Berkeley campus.",Networks,https://www.facebook.com/berkeleydiversity,https://twitter.com/ucbdiversity,,"Undergraduate Student,Graduate Student,Faculty,Staff","Women,Under-represented minority,First generation college students,Veterans,U.S. Citizen,Non-U.S. Citizen,Indigenous peoples ,Multiracial people, People of African descent ,People with Disabilities","UC Berkeley,Bay Area",Berkeley,,Rolling,,,,General,,WITI,"Initiative sponsored by UC Berkeley, works mostly in data collection/analysis to spread awareness of programs. Fundamentally similar path to the WITI initiative.",,,,,,,,
Phi Sigma Rho - Female Engineering/STEM sorority,http://berkeley.phisigmarho.org,calphirho@gmail.com,513-687-7289,432 Eshleman Hall 2465 Bancroft Way,calphirho@gmail.com,,,"Close knit sorority of female engineers that operate on the core values of friendship, scholarship, and encouragement. Offers a community that boasts a powerful alumni network as well as a lifelong support group of peer mentors.","Student Groups,Mentoring",,,https://www.instagram.com/calphirho/,Undergraduate Student,Women,UC Berkeley,Berkeley,,"Fall,Spring",,,,General,,WITI,,,,,,,,,
Black Graduate Engineering and Science Students,https://www.facebook.com/groups/974184169286805/,,,,cbiaou@berkeley.edu,,,"BGESS was founded in 1987 by a group of African American graduate students enrolled at U.C. Berkeley. BGESS has dedicated itself to the nurturing of academic and social support systems for students of African Heritage, whose contributions to the fields of Graduate Engineering and Physical Sciences have been historically underrepresented or denied. They provide information about applying to Cal, historic contributions by Black scientists and engineers, and Future Black Faculty Database. ","Student Groups,Networks,Mentoring",https://www.facebook.com/groups/974184169286805/,,,Graduate Student,People of African descent,UC Berkeley,Berkeley,,Rolling,,,,General,,,,,,,,,,,
Women Techmakers,https://www.womentechmakers.com/,Women-techmakers@google.com,,,WTMScholars@google.com,,,"Google-backed initiative that provides visibility, community, and resources for women in technology. Members get to join a community of women in tech and participate in various global summits, workshops, and meetups to develop professionally and find a positive environment to grow. The Scholars program provides a scholarship to highly motivated and studious female university students studying computer science/engineering, as well as a retreat where Scholars can meet each other and grow through professional and personal development workshops.","Fellowships & Scholarships,Networks",,https://twitter.com/womentechmakers,,"Undergraduate Student,Graduate Student",Women,Global,,,One time,,,,General,,WITI,application for 2019-2020 scholars closed,,,,,,,,
Women in Computer Science and Engineering,http://www-inst.eecs.berkeley.edu/~wicse/?_ga=2.67331537.19290003.1551058960-1317627104.1517111811,wicse_all@lists.berkeley.edu,,,wicse_all@lists.berkeley.edu,,,"Organization that allows female graduate students studying computer science and engineering to form a community on campus. The organization often organizes mixer lunches and brings industry representatives over for tech talks and networking regularly. Largely involved with community service and fostering the development of women, from mentoring Girl Scouts to organizing groups to participate in women marches in the city.","Student Groups,Networks,Mentoring",https://www.facebook.com/Women-in-Computer-Science-and-Engineering-at-UC-Berkeley-337300213425163/,,,Graduate Student,Women,UC Berkeley,Berkeley,,Rolling,,,,General,,WITI,,,,,,,,,
